city,country,iso2,population,lat,lon,gni_ppp_year,gni_ppp,gni_usd_year,gni_usd,income_index
Dalian,People's Republic of China,CN,7450785,38.9,121.6,2024,26920.0,2024,13660.0,1.0
Dalian,People's Republic of China,CN,7450785,38.9,121.6,2024,26920.0,2024,13660.0,1.0
Hong Kong,People's Republic of China,CN,7413070,22.278333333,114.158611111,2024,26920.0,2024,13660.0,1.0
Hong Kong,People's Republic of China,CN,7413070,22.278333333,114.158611111,2024,26920.0,2024,13660.0,1.0
Hong Kong,People's Republic of China,CN,7413070,22.278333333,114.158611111,2024,26920.0,2024,13660.0,1.0
Hong Kong,People's Republic of China,CN,7413070,22.278333333,114.158611111,2024,26920.0,2024,13660.0,1.0
Hong Kong,People's Republic of China,CN,7413070,22.278333333,114.158611111,2024,26920.0,2024,13660.0,1.0
Cangzhou,People's Republic of China,CN,7300783,38.30369,116.84519,2024,26920.0,2024,13660.0,1.0
Cangzhou,People's Republic of China,CN,7300783,38.30369,116.84519,2024,26920.0,2024,13660.0,1.0
Xingtai,People's Republic of China,CN,7111106,37.06594,114.47531,2024,26920.0,2024,13660.0,1.0
Yantai,People's Republic of China,CN,7102116,37.464444444,121.447777777,2024,26920.0,2024,13660.0,1.0
Yantai,People's Republic of China,CN,7102116,37.464444444,121.447777777,2024,26920.0,2024,13660.0,1.0
Luoyang,People's Republic of China,CN,7056699,34.65867,112.42447,2024,26920.0,2024,13660.0,1.0
Luoyang,People's Republic of China,CN,7056699,34.683611111,112.453611111,2024,26920.0,2024,13660.0,1.0
Luoyang,People's Republic of China,CN,7056699,34.65867,112.42447,2024,26920.0,2024,13660.0,1.0
Luoyang,People's Republic of China,CN,7056699,34.683611111,112.453611111,2024,26920.0,2024,13660.0,1.0
Jinhua,People's Republic of China,CN,7050683,29.10462,119.64937,2024,26920.0,2024,13660.0,1.0
Jinhua,People's Republic of China,CN,7050683,29.10462,119.64937,2024,26920.0,2024,13660.0,1.0
Riyadh,Saudi Arabia,SA,7009100,24.65,46.71,2024,71600.0,2024,35570.0,2.6597325408618127
Riyadh,Saudi Arabia,SA,7009100,24.65,46.71,2024,71600.0,2024,35570.0,2.6597325408618127
Riyadh,Saudi Arabia,SA,7009100,24.65,46.71,2024,71600.0,2024,35570.0,2.6597325408618127
Zhumadian,People's Republic of China,CN,7008427,32.97729,114.02528,2024,26920.0,2024,13660.0,1.0
Zhanjiang,People's Republic of China,CN,6981236,21.196667,110.403056,2024,26920.0,2024,13660.0,1.0
Zhanjiang,People's Republic of China,CN,6981236,21.196667,110.403056,2024,26920.0,2024,13660.0,1.0
Bijie,People's Republic of China,CN,6899636,27.30193,105.28627,2024,26920.0,2024,13660.0,1.0
Bijie,People's Republic of China,CN,6899636,27.30193,105.28627,2024,26920.0,2024,13660.0,1.0
Yangon,Myanmar,MM,6874000,16.795,96.16,2024,5920.0,2024,1220.0,0.2199108469539376
Yangon,Myanmar,MM,6874000,16.80528,96.15611,2024,5920.0,2024,1220.0,0.2199108469539376
Yangon,Myanmar,MM,6874000,16.795,96.16,2024,5920.0,2024,1220.0,0.2199108469539376
Yangon,Myanmar,MM,6874000,16.80528,96.15611,2024,5920.0,2024,1220.0,0.2199108469539376
Yangon,Myanmar,MM,6874000,16.795,96.16,2024,5920.0,2024,1220.0,0.2199108469539376
Yangon,Myanmar,MM,6874000,16.80528,96.15611,2024,5920.0,2024,1220.0,0.2199108469539376
Yangon,Myanmar,MM,6874000,16.795,96.16,2024,5920.0,2024,1220.0,0.2199108469539376
Yangon,Myanmar,MM,6874000,16.80528,96.15611,2024,5920.0,2024,1220.0,0.2199108469539376
Yancheng,People's Republic of China,CN,6709629,33.35,120.156944444,2024,26920.0,2024,13660.0,1.0
Yancheng,People's Republic of China,CN,6709629,33.35,120.156944444,2024,26920.0,2024,13660.0,1.0
Hengyang,People's Republic of China,CN,6645243,26.89676,112.58568,2024,26920.0,2024,13660.0,1.0
Hengyang,People's Republic of China,CN,6645243,26.89676,112.58568,2024,26920.0,2024,13660.0,1.0
Taizhou,People's Republic of China,CN,6622888,28.6583,121.42213,2024,26920.0,2024,13660.0,1.0
Taizhou,People's Republic of China,CN,6622888,28.6583,121.42213,2024,26920.0,2024,13660.0,1.0
Zunyi,People's Republic of China,CN,6606675,27.70498,106.93363,2024,26920.0,2024,13660.0,1.0
